age_band,party,method_bucket,counted_votes
55-64,PSL,polls,98
55-64,REP,early,2172598
55-64,REP,mail,1490744
55-64,REP,polls,2416548
65-74,AMF,early,1133
65-74,AMF,mail,1207
65-74,AMF,polls,1068
65-74,ASP,early,369
65-74,ASP,mail,493
65-74,ASP,polls,410
65-74,BPP,early,440
65-74,BPP,mail,662
65-74,BPP,polls,391
65-74,CPF,early,1291
65-74,CPF,mail,1407
65-74,CPF,polls,1449
65-74,CPP,early,565
65-74,CPP,mail,779
65-74,CPP,polls,571
65-74,CSV,early,4110
65-74,CSV,mail,3919
65-74,CSV,polls,3539
65-74,DEM,early,1690915
65-74,DEM,mail,2575369
65-74,DEM,polls,1460944
65-74,ECO,early,378
65-74,ECO,mail,482
65-74,ECO,polls,407
65-74,FFP,early,210
65-74,FFP,mail,305
65-74,FFP,polls,205
65-74,GRE,early,806
65-74,GRE,mail,1621
65-74,GRE,polls,886
65-74,IND,early,71167
65-74,IND,mail,110100
65-74,IND,polls,58292
65-74,JEF,early,11
65-74,LPF,early,4064
65-74,LPF,mail,5204
65-74,LPF,polls,4516
65-74,NPA,early,663173
65-74,NPA,mail,958542
65-74,NPA,polls,548465
65-74,PSL,early,20
65-74,PSL,mail,56
65-74,PSL,polls,23
65-74,REP,early,2549941
65-74,REP,mail,2574364
65-74,REP,polls,2572628
75+,AMF,early,473
75+,AMF,mail,985
75+,AMF,polls,391
75+,ASP,early,161
75+,ASP,mail,470
75+,ASP,polls,180
75+,BPP,early,202
75+,BPP,mail,413
75+,BPP,polls,162
75+,CPF,early,701
75+,CPF,mail,1115
75+,CPF,polls,586
75+,CPP,early,353
75+,CPP,mail,640
75+,CPP,polls,297
75+,CSV,early,2247
75+,CSV,mail,3806
75+,CSV,polls,1906
75+,DEM,early,1465230
75+,DEM,mail,3773648
75+,DEM,polls,1278420
75+,ECO,early,182
75+,ECO,mail,374
75+,ECO,polls,148
75+,FFP,early,110
75+,FFP,mail,261
75+,FFP,polls,84
75+,GRE,early,441
75+,GRE,mail,1127
75+,GRE,polls,401
75+,IND,early,45447
75+,IND,mail,117063
75+,IND,polls,37078
75+,JEF,early,11
75+,JEF,mail,34
75+,LPF,early,2090
75+,LPF,mail,3670
75+,LPF,polls,1865
75+,MGT,mail,14
75+,NPA,early,517711
75+,NPA,mail,1249246
75+,NPA,polls,426841
75+,PSL,early,16
75+,PSL,mail,87
75+,PSL,polls,28
75+,REP,early,2547678
75+,REP,mail,4284322
75+,REP,polls,2370370
unknown,AMF,early,31
unknown,AMF,polls,21
unknown,ASP,mail,17
unknown,BPP,early,15
unknown,BPP,mail,24
unknown,BPP,polls,12
unknown,CPF,early,83
unknown,CPF,mail,80
unknown,CPF,polls,69
unknown,CPP,early,16
unknown,CPP,mail,15
unknown,CPP,polls,19
unknown,CSV,early,130
unknown,CSV,mail,80
unknown,CSV,polls,96
unknown,DEM,early,60308
unknown,DEM,mail,43822
unknown,DEM,polls,41939
unknown,ECO,mail,11
unknown,GRE,early,48
unknown,GRE,mail,52
unknown,GRE,polls,35
unknown,IND,early,2642
unknown,IND,mail,2117
unknown,IND,polls,2014
unknown,LPF,early,457
unknown,LPF,mail,250
unknown,LPF,polls,364
unknown,NPA,early,27527
unknown,NPA,mail,21656
unknown,NPA,polls,19815
unknown,PSL,early,19
unknown,PSL,mail,11
unknown,PSL,polls,11
unknown,REP,early,146617
unknown,REP,mail,87822
unknown,REP,polls,117248
