affordability_band,age_band,party_affiliation,voters
4: above average,18-24,PSL,122
4: above average,18-24,REP,47362
4: above average,25-34,AMF,717
4: above average,25-34,ASP,356
4: above average,25-34,BPP,1301
4: above average,25-34,CPF,694
4: above average,25-34,CPP,311
4: above average,25-34,CSV,1305
4: above average,25-34,DEM,120847
4: above average,25-34,ECO,183
4: above average,25-34,FFP,79
4: above average,25-34,GRE,483
4: above average,25-34,IND,9901
4: above average,25-34,LPF,1618
4: above average,25-34,NPA,123892
4: above average,25-34,PSL,207
4: above average,25-34,REP,91177
4: above average,35-44,AMF,619
4: above average,35-44,ASP,274
4: above average,35-44,BPP,1062
4: above average,35-44,CPF,627
4: above average,35-44,CPP,318
4: above average,35-44,CSV,1300
4: above average,35-44,DEM,116077
4: above average,35-44,ECO,135
4: above average,35-44,FFP,59
4: above average,35-44,GRE,408
4: above average,35-44,IND,8232
4: above average,35-44,LPF,1721
4: above average,35-44,NPA,121616
4: above average,35-44,PSL,86
4: above average,35-44,REP,101743
4: above average,45-54,AMF,531
4: above average,45-54,ASP,204
4: above average,45-54,BPP,864
4: above average,45-54,CPF,470
4: above average,45-54,CPP,281
4: above average,45-54,CSV,1071
4: above average,45-54,DEM,100773
4: above average,45-54,ECO,104
4: above average,45-54,FFP,46
4: above average,45-54,GRE,216
4: above average,45-54,IND,6860
4: above average,45-54,LPF,942
4: above average,45-54,NPA,96745
4: above average,45-54,PSL,27
4: above average,45-54,REP,98188
4: above average,55-64,AMF,374
4: above average,55-64,ASP,162
4: above average,55-64,BPP,453
4: above average,55-64,CPF,411
4: above average,55-64,CPP,232
4: above average,55-64,CSV,911
4: above average,55-64,DEM,108981
4: above average,55-64,ECO,87
4: above average,55-64,FFP,25
4: above average,55-64,GRE,142
4: above average,55-64,IND,7001
4: above average,55-64,LPF,567
4: above average,55-64,NPA,82049
4: above average,55-64,PSL,13
4: above average,55-64,REP,126715
4: above average,65-74,AMF,215
4: above average,65-74,ASP,94
4: above average,65-74,BPP,171
4: above average,65-74,CPF,183
4: above average,65-74,CPP,129
4: above average,65-74,CSV,618
4: above average,65-74,DEM,109099
4: above average,65-74,ECO,57
4: above average,65-74,FFP,13
4: above average,65-74,GRE,66
4: above average,65-74,IND,5778
4: above average,65-74,LPF,291
4: above average,65-74,NPA,61099
4: above average,65-74,REP,116396
4: above average,75+,AMF,61
4: above average,75+,ASP,30
4: above average,75+,BPP,90
4: above average,75+,CPF,75
4: above average,75+,CPP,43
4: above average,75+,CSV,247
4: above average,75+,DEM,93701
4: above average,75+,ECO,21
4: above average,75+,FFP,12
4: above average,75+,GRE,35
4: above average,75+,IND,3253
4: above average,75+,LPF,119
4: above average,75+,NPA,43773
4: above average,75+,REP,96258
5: high pressure,18-24,AMF,974
5: high pressure,18-24,ASP,400
5: high pressure,18-24,BPP,948
5: high pressure,18-24,CPF,923
5: high pressure,18-24,CPP,248
5: high pressure,18-24,CSV,1118
5: high pressure,18-24,DEM,72192
5: high pressure,18-24,ECO,184
5: high pressure,18-24,FFP,84
5: high pressure,18-24,GRE,390
5: high pressure,18-24,IND,6449
5: high pressure,18-24,LPF,317
5: high pressure,18-24,NPA,84013
5: high pressure,18-24,PSL,125
5: high pressure,18-24,REP,46842
5: high pressure,25-34,AMF,741
5: high pressure,25-34,ASP,347
5: high pressure,25-34,BPP,1243
5: high pressure,25-34,CPF,603
5: high pressure,25-34,CPP,289
5: high pressure,25-34,CSV,1112
5: high pressure,25-34,DEM,154715
5: high pressure,25-34,ECO,192
5: high pressure,25-34,FFP,80
5: high pressure,25-34,GRE,482
5: high pressure,25-34,IND,10126
5: high pressure,25-34,LPF,1102
5: high pressure,25-34,NPA,154610
5: high pressure,25-34,PSL,177
5: high pressure,25-34,REP,90369
5: high pressure,35-44,AMF,614
5: high pressure,35-44,ASP,275
5: high pressure,35-44,BPP,941
5: high pressure,35-44,CPF,509
5: high pressure,35-44,CPP,305
5: high pressure,35-44,CSV,1001
5: high pressure,35-44,DEM,145219
5: high pressure,35-44,ECO,122
5: high pressure,35-44,FFP,67
5: high pressure,35-44,GRE,351
5: high pressure,35-44,IND,8445
5: high pressure,35-44,LPF,1119
5: high pressure,35-44,NPA,149650
5: high pressure,35-44,PSL,64
5: high pressure,35-44,REP,107246
5: high pressure,45-54,AMF,477
5: high pressure,45-54,ASP,196
5: high pressure,45-54,BPP,762
5: high pressure,45-54,CPF,402
5: high pressure,45-54,CPP,262
5: high pressure,45-54,CSV,771
5: high pressure,45-54,DEM,127239
5: high pressure,45-54,ECO,103
5: high pressure,45-54,FFP,35
5: high pressure,45-54,GRE,211
5: high pressure,45-54,IND,7407
5: high pressure,45-54,LPF,619
5: high pressure,45-54,NPA,124978
5: high pressure,45-54,PSL,33
5: high pressure,45-54,REP,104320
5: high pressure,55-64,AMF,373
5: high pressure,55-64,ASP,193
5: high pressure,55-64,BPP,425
5: high pressure,55-64,CPF,310
5: high pressure,55-64,CPP,186
5: high pressure,55-64,CSV,682
5: high pressure,55-64,DEM,139202
5: high pressure,55-64,ECO,84
5: high pressure,55-64,FFP,23
5: high pressure,55-64,GRE,139
5: high pressure,55-64,IND,7267
5: high pressure,55-64,LPF,358
5: high pressure,55-64,NPA,112647
