county_code,party_affiliation,voters,new_in_april,new_in_may,missing_after_march,missing_after_april,zip_changed_mar_apr,zip_changed_apr_may,county_changed_mar_apr,county_changed_apr_may,party_changed_mar_apr,party_changed_apr_may,status_changed_mar_apr,status_changed_apr_may
SAN,REP,103640,390,353,160,134,400,329,220,194,111,111,987,65
SAN,WPF,2,0,0,0,0,0,1,0,1,0,2,0,1
SAR,AMF,451,16,16,1,0,18,9,6,2,45,29,8,8
SAR,ASP,144,2,4,0,0,4,1,4,0,4,3,1,0
SAR,BPP,129,2,2,1,0,7,0,7,0,4,2,5,3
SAR,CPF,396,2,3,2,1,5,1,5,0,2,1,4,3
SAR,CPP,194,5,2,0,0,3,1,3,1,8,5,4,5
SAR,CSV,955,8,10,4,1,24,8,18,3,25,15,22,7
SAR,DEM,97354,319,269,621,191,755,326,483,122,399,285,1046,172
SAR,ECO,102,2,1,0,0,2,1,2,0,2,4,3,2
SAR,FFP,37,0,1,0,0,2,1,0,0,3,2,0,0
SAR,GRE,323,1,2,2,0,8,2,3,1,6,0,5,0
SAR,IND,9363,46,55,58,14,144,71,89,31,225,160,109,25
SAR,JEF,1,0,0,0,0,0,0,0,0,0,0,0,0
SAR,LPF,1021,11,7,4,1,14,8,6,3,10,6,16,2
SAR,NPA,94708,336,303,421,140,796,349,535,172,427,317,1051,209
SAR,PSL,48,0,0,0,0,0,1,0,1,0,1,0,0
SAR,REP,180592,763,694,827,287,1642,752,1040,317,506,356,1564,346
SEM,AMF,466,22,22,0,1,19,12,12,10,40,28,11,10
SEM,ASP,199,2,1,1,0,6,4,2,1,4,6,1,2
SEM,BPP,818,10,12,0,0,24,20,7,15,18,22,11,11
SEM,CPF,486,2,1,0,0,8,7,2,6,1,3,6,4
SEM,CPP,246,4,6,0,0,8,5,1,1,14,7,3,2
SEM,CSV,1132,8,9,0,0,17,8,4,6,13,8,7,14
SEM,DEM,116713,283,276,153,164,1273,747,417,406,276,237,591,721
SEM,ECO,128,3,1,0,0,1,3,1,0,2,3,2,0
SEM,FFP,49,0,0,0,0,1,1,1,0,2,2,0,0
SEM,GRE,364,3,3,0,0,13,3,5,1,6,7,3,7
SEM,IND,8870,23,33,9,7,171,104,58,59,117,104,38,67
SEM,LPF,1330,1,3,0,4,17,5,5,5,9,6,6,14
SEM,MGT,2,0,0,0,0,0,0,0,0,0,0,0,0
SEM,NPA,109110,292,222,87,94,1166,592,375,354,278,250,443,651
SEM,PSL,99,0,0,0,0,1,0,1,0,4,2,0,0
