extract_month,county_code,party_affiliation,voter_status,voter_count
2026-03,DES,IND,INA,30
2026-03,DES,LPF,ACT,29
2026-03,DES,LPF,INA,5
2026-03,DES,NPA,ACT,3014
2026-03,DES,NPA,INA,1601
2026-03,DES,PSL,INA,1
2026-03,DES,REP,ACT,8053
2026-03,DES,REP,INA,1323
2026-03,DIX,AMF,ACT,9
2026-03,DIX,ASP,ACT,2
2026-03,DIX,BPP,ACT,5
2026-03,DIX,CPF,ACT,22
2026-03,DIX,CPF,INA,2
2026-03,DIX,CPP,ACT,4
2026-03,DIX,CSV,ACT,25
2026-03,DIX,CSV,INA,2
2026-03,DIX,DEM,ACT,1635
2026-03,DIX,DEM,INA,537
2026-03,DIX,ECO,ACT,1
2026-03,DIX,ECO,INA,1
2026-03,DIX,FFP,ACT,1
2026-03,DIX,GRE,ACT,8
2026-03,DIX,IND,ACT,145
2026-03,DIX,IND,INA,28
2026-03,DIX,LPF,ACT,16
2026-03,DIX,LPF,INA,1
2026-03,DIX,NPA,ACT,1348
2026-03,DIX,NPA,INA,519
2026-03,DIX,PSL,ACT,1
2026-03,DIX,REP,ACT,6784
2026-03,DIX,REP,INA,675
2026-03,DIX,RFM,ACT,1
2026-03,DUV,AMF,ACT,876
2026-03,DUV,AMF,INA,28
2026-03,DUV,ASP,ACT,472
2026-03,DUV,ASP,INA,51
2026-03,DUV,BPP,ACT,726
2026-03,DUV,BPP,INA,80
2026-03,DUV,CPF,ACT,1133
2026-03,DUV,CPF,INA,218
2026-03,DUV,CPP,ACT,555
2026-03,DUV,CPP,INA,81
2026-03,DUV,CSV,ACT,2167
2026-03,DUV,CSV,INA,298
2026-03,DUV,DEM,ACT,239805
2026-03,DUV,DEM,INA,32107
2026-03,DUV,ECO,ACT,223
2026-03,DUV,ECO,INA,34
2026-03,DUV,FFP,ACT,106
2026-03,DUV,FFP,INA,4
2026-03,DUV,GRE,ACT,581
2026-03,DUV,GRE,INA,92
2026-03,DUV,IND,ACT,13390
2026-03,DUV,IND,INA,1527
2026-03,DUV,JEF,ACT,5
2026-03,DUV,JEF,INA,1
2026-03,DUV,LPF,ACT,2343
2026-03,DUV,LPF,INA,403
2026-03,DUV,MGT,ACT,4
2026-03,DUV,NPA,ACT,142010
2026-03,DUV,NPA,INA,23560
2026-03,DUV,PSL,ACT,120
2026-03,DUV,PSL,INA,26
2026-03,DUV,REP,ACT,235011
2026-03,DUV,REP,INA,18982
2026-03,DUV,RFM,ACT,17
2026-03,DUV,RFM,INA,1
2026-03,ESC,AMF,ACT,332
2026-03,ESC,AMF,INA,9
2026-03,ESC,ASP,ACT,125
2026-03,ESC,ASP,INA,4
2026-03,ESC,BPP,ACT,88
2026-03,ESC,BPP,INA,4
2026-03,ESC,CPF,ACT,337
2026-03,ESC,CPF,INA,44
2026-03,ESC,CPP,ACT,126
2026-03,ESC,CPP,INA,9
2026-03,ESC,CSV,ACT,795
2026-03,ESC,CSV,INA,47
2026-03,ESC,DEM,ACT,58208
2026-03,ESC,DEM,INA,15754
2026-03,ESC,ECO,ACT,60
2026-03,ESC,ECO,INA,6
2026-03,ESC,FFP,ACT,22
2026-03,ESC,FFP,INA,1
2026-03,ESC,GRE,ACT,169
2026-03,ESC,GRE,INA,43
2026-03,ESC,IND,ACT,4233
2026-03,ESC,IND,INA,759
2026-03,ESC,JEF,ACT,1
2026-03,ESC,LPF,ACT,799
2026-03,ESC,LPF,INA,261
2026-03,ESC,NPA,ACT,38118
2026-03,ESC,NPA,INA,16022
2026-03,ESC,PSL,ACT,78
2026-03,ESC,PSL,INA,22
2026-03,ESC,REP,ACT,98006
2026-03,ESC,REP,INA,15100
2026-03,ESC,RFM,ACT,2
2026-03,FLA,AMF,ACT,160
2026-03,FLA,AMF,INA,1
2026-03,FLA,ASP,ACT,64
2026-03,FLA,ASP,INA,2
2026-03,FLA,BPP,ACT,122
2026-03,FLA,BPP,INA,6
2026-03,FLA,CPF,ACT,207
2026-03,FLA,CPF,INA,14
2026-03,FLA,CPP,ACT,96
2026-03,FLA,CPP,INA,2
2026-03,FLA,CSV,ACT,583
2026-03,FLA,CSV,INA,16
2026-03,FLA,DEM,ACT,23112
2026-03,FLA,DEM,INA,4019
2026-03,FLA,ECO,ACT,45
2026-03,FLA,ECO,INA,3
2026-03,FLA,FFP,ACT,11
2026-03,FLA,GRE,ACT,69
2026-03,FLA,GRE,INA,18
2026-03,FLA,IND,ACT,2395
2026-03,FLA,IND,INA,236
2026-03,FLA,LPF,ACT,257
2026-03,FLA,LPF,INA,47
2026-03,FLA,NPA,ACT,20684
2026-03,FLA,NPA,INA,5725
2026-03,FLA,PSL,ACT,11
2026-03,FLA,PSL,INA,3
2026-03,FLA,REP,ACT,49733
2026-03,FLA,REP,INA,4767
2026-03,FRA,AMF,ACT,7
2026-03,FRA,ASP,ACT,3
2026-03,FRA,ASP,INA,1
2026-03,FRA,BPP,ACT,2
2026-03,FRA,CPF,ACT,15
2026-03,FRA,CPF,INA,2
2026-03,FRA,CPP,ACT,3
2026-03,FRA,CSV,ACT,40
2026-03,FRA,CSV,INA,2
2026-03,FRA,DEM,ACT,2183
2026-03,FRA,DEM,INA,424
2026-03,FRA,ECO,ACT,7
2026-03,FRA,ECO,INA,1
2026-03,FRA,FFP,ACT,2
2026-03,FRA,GRE,ACT,3
2026-03,FRA,IND,ACT,193
2026-03,FRA,IND,INA,28
2026-03,FRA,JEF,ACT,1
2026-03,FRA,LPF,ACT,19
2026-03,FRA,LPF,INA,4
2026-03,FRA,NPA,ACT,1117
2026-03,FRA,NPA,INA,265
2026-03,FRA,REP,ACT,4106
2026-03,FRA,REP,INA,393
2026-03,GAD,AMF,ACT,23
2026-03,GAD,ASP,ACT,22
2026-03,GAD,ASP,INA,1
2026-03,GAD,BPP,ACT,1
2026-03,GAD,CPF,ACT,34
2026-03,GAD,CPF,INA,7
2026-03,GAD,CPP,ACT,15
2026-03,GAD,CSV,ACT,58
2026-03,GAD,CSV,INA,4
2026-03,GAD,DEM,ACT,17390
2026-03,GAD,DEM,INA,3154
2026-03,GAD,ECO,ACT,7
2026-03,GAD,FFP,ACT,2
2026-03,GAD,FFP,INA,1
2026-03,GAD,GRE,ACT,14
2026-03,GAD,GRE,INA,1
2026-03,GAD,IND,ACT,261
