county_code,party_affiliation,age_band,voter_count
CAL,CSV,25-34,4
CAL,CSV,35-44,4
CAL,CSV,45-54,4
CAL,CSV,55-64,1
CAL,CSV,65-74,2
CAL,DEM,18-24,111
CAL,DEM,25-34,268
CAL,DEM,35-44,330
CAL,DEM,45-54,307
CAL,DEM,55-64,400
CAL,DEM,65-74,432
CAL,DEM,75+,399
CAL,DEM,unknown,111
CAL,ECO,18-24,1
CAL,GRE,25-34,1
CAL,GRE,35-44,1
CAL,GRE,65-74,1
CAL,GRE,unknown,1
CAL,IND,18-24,13
CAL,IND,25-34,15
CAL,IND,35-44,6
CAL,IND,45-54,12
CAL,IND,55-64,9
CAL,IND,65-74,5
CAL,IND,unknown,1
CAL,LPF,18-24,3
CAL,LPF,25-34,1
CAL,LPF,35-44,5
CAL,LPF,45-54,2
CAL,LPF,55-64,3
CAL,NPA,18-24,137
CAL,NPA,25-34,191
CAL,NPA,35-44,211
CAL,NPA,45-54,147
CAL,NPA,55-64,150
CAL,NPA,65-74,106
CAL,NPA,75+,59
CAL,NPA,unknown,16
CAL,REP,18-24,461
CAL,REP,25-34,629
CAL,REP,35-44,689
CAL,REP,45-54,726
CAL,REP,55-64,836
CAL,REP,65-74,839
CAL,REP,75+,662
CAL,REP,unknown,304
CHA,AMF,18-24,41
CHA,AMF,25-34,56
CHA,AMF,35-44,57
CHA,AMF,45-54,47
CHA,AMF,55-64,51
CHA,AMF,65-74,43
CHA,AMF,75+,26
CHA,ASP,18-24,24
CHA,ASP,25-34,7
CHA,ASP,35-44,12
CHA,ASP,45-54,16
CHA,ASP,55-64,15
CHA,ASP,65-74,7
CHA,ASP,75+,4
CHA,BPP,18-24,23
CHA,BPP,25-34,21
CHA,BPP,35-44,20
CHA,BPP,45-54,22
CHA,BPP,55-64,15
CHA,BPP,65-74,6
CHA,BPP,75+,1
CHA,CPF,18-24,47
CHA,CPF,25-34,34
CHA,CPF,35-44,38
CHA,CPF,45-54,44
CHA,CPF,55-64,60
CHA,CPF,65-74,35
CHA,CPF,75+,19
CHA,CPP,18-24,21
CHA,CPP,25-34,25
CHA,CPP,35-44,15
CHA,CPP,45-54,25
CHA,CPP,55-64,25
CHA,CPP,65-74,15
CHA,CPP,75+,12
CHA,CSV,18-24,76
CHA,CSV,25-34,113
CHA,CSV,35-44,110
CHA,CSV,45-54,106
CHA,CSV,55-64,182
CHA,CSV,65-74,165
CHA,CSV,75+,85
CHA,CSV,unknown,3
CHA,DEM,18-24,1461
CHA,DEM,25-34,3071
CHA,DEM,35-44,2940
CHA,DEM,45-54,2933
CHA,DEM,55-64,5202
CHA,DEM,65-74,9039
CHA,DEM,75+,10589
CHA,DEM,unknown,152
CHA,ECO,18-24,7
CHA,ECO,25-34,11
CHA,ECO,35-44,11
CHA,ECO,45-54,6
CHA,ECO,55-64,17
CHA,ECO,65-74,13
CHA,ECO,75+,5
CHA,FFP,18-24,3
CHA,FFP,25-34,8
CHA,FFP,35-44,5
CHA,FFP,45-54,6
CHA,FFP,55-64,4
CHA,FFP,65-74,5
CHA,FFP,75+,3
CHA,GRE,18-24,16
CHA,GRE,25-34,20
CHA,GRE,35-44,24
CHA,GRE,45-54,17
CHA,GRE,55-64,18
CHA,GRE,65-74,20
CHA,GRE,75+,4
CHA,IND,18-24,367
CHA,IND,25-34,618
CHA,IND,35-44,503
CHA,IND,45-54,512
CHA,IND,55-64,899
CHA,IND,65-74,1319
CHA,IND,75+,906
CHA,IND,unknown,12
CHA,LPF,18-24,21
CHA,LPF,25-34,104
CHA,LPF,35-44,124
CHA,LPF,45-54,72
CHA,LPF,55-64,57
CHA,LPF,65-74,56
CHA,LPF,75+,18
CHA,LPF,unknown,1
CHA,MGT,55-64,1
CHA,NPA,18-24,2461
CHA,NPA,25-34,5406
CHA,NPA,35-44,5479
CHA,NPA,45-54,4838
CHA,NPA,55-64,7200
CHA,NPA,65-74,8965
CHA,NPA,75+,8453
CHA,NPA,unknown,142
CHA,PSL,18-24,3
CHA,PSL,25-34,6
CHA,PSL,35-44,4
CHA,PSL,55-64,2
CHA,PSL,65-74,1
CHA,REP,18-24,3699
CHA,REP,25-34,7174
CHA,REP,35-44,7731
CHA,REP,45-54,9140
CHA,REP,55-64,18624
CHA,REP,65-74,23080
CHA,REP,75+,21766
CHA,REP,unknown,712
CIT,AMF,18-24,39
CIT,AMF,25-34,36
CIT,AMF,35-44,32
CIT,AMF,45-54,29
CIT,AMF,55-64,40
CIT,AMF,65-74,28
CIT,AMF,75+,10
CIT,AMF,unknown,1
CIT,ASP,18-24,8
CIT,ASP,25-34,11
CIT,ASP,35-44,10
CIT,ASP,45-54,12
CIT,ASP,55-64,12
CIT,ASP,65-74,8
CIT,ASP,75+,1
CIT,BPP,18-24,12
CIT,BPP,25-34,15
CIT,BPP,35-44,24
CIT,BPP,45-54,17
CIT,BPP,55-64,16
CIT,BPP,65-74,14
CIT,BPP,75+,5
CIT,CPF,18-24,39
CIT,CPF,25-34,40
CIT,CPF,35-44,45
CIT,CPF,45-54,42
CIT,CPF,55-64,43
CIT,CPF,65-74,23
