extract_month,zip_code,party_affiliation,voter_count
2026-03,320866534,REP,10
2026-03,320866857,REP,10
2026-03,320867313,REP,12
2026-03,320867855,NPA,17
2026-03,320867957,REP,12
2026-03,320868848,REP,10
2026-03,320868864,REP,18
2026-03,320868897,REP,12
2026-03,32087,CSV,10
2026-03,32087,DEM,783
2026-03,32087,IND,29
2026-03,32087,NPA,321
2026-03,32087,REP,1673
2026-03,32091,AMF,24
2026-03,32091,CPF,17
2026-03,32091,CSV,51
2026-03,32091,DEM,2625
2026-03,32091,IND,153
2026-03,32091,LPF,34
2026-03,32091,NPA,1478
2026-03,32091,REP,6193
2026-03,32092,AMF,44
2026-03,32092,ASP,20
2026-03,32092,BPP,22
2026-03,32092,CPF,52
2026-03,32092,CPP,25
2026-03,32092,CSV,154
2026-03,32092,DEM,6912
2026-03,32092,ECO,17
2026-03,32092,GRE,22
2026-03,32092,IND,918
2026-03,32092,LPF,146
2026-03,32092,NPA,9037
2026-03,32092,REP,21425
2026-03,320921003,REP,18
2026-03,320921013,REP,10
2026-03,320921017,REP,13
2026-03,320921019,REP,15
2026-03,320921021,REP,12
2026-03,320921023,REP,10
2026-03,320921024,REP,10
2026-03,320921025,REP,10
2026-03,320921042,REP,14
2026-03,320921047,REP,20
2026-03,320921049,REP,11
2026-03,320921055,REP,18
2026-03,320921064,REP,14
2026-03,320921069,REP,11
2026-03,320921075,REP,13
2026-03,320921084,REP,22
2026-03,320921092,REP,12
2026-03,320921093,REP,11
2026-03,320921099,REP,10
2026-03,320921417,REP,10
2026-03,320921438,REP,11
2026-03,320921503,REP,10
2026-03,320921739,REP,10
2026-03,320921809,REP,11
2026-03,320921868,REP,10
2026-03,320921910,REP,11
2026-03,320922022,REP,13
2026-03,320922210,REP,11
2026-03,320922319,REP,10
2026-03,320922417,REP,10
2026-03,320922421,REP,11
2026-03,320922435,REP,10
2026-03,320922448,DEM,14
2026-03,320922448,REP,10
2026-03,320922456,REP,11
2026-03,320922457,REP,10
2026-03,320922495,REP,16
2026-03,320922496,REP,11
2026-03,320922799,REP,10
2026-03,320922807,REP,10
2026-03,320922808,REP,14
2026-03,320923012,NPA,11
2026-03,320923049,REP,16
2026-03,320923067,REP,13
2026-03,320923417,REP,11
2026-03,320923437,REP,10
2026-03,320923446,REP,10
2026-03,320923448,REP,10
2026-03,320923453,REP,11
2026-03,320923463,REP,13
2026-03,320923605,REP,10
2026-03,320923612,REP,13
2026-03,320923660,REP,11
2026-03,320923686,REP,16
2026-03,320923708,REP,12
2026-03,320923720,REP,10
2026-03,320923768,REP,11
2026-03,320924768,REP,14
2026-03,320924790,REP,12
2026-03,320924791,REP,12
2026-03,320925004,REP,11
2026-03,320925007,REP,19
2026-03,320925009,REP,11
2026-03,320925012,REP,13
2026-03,320925013,REP,10
2026-03,320925014,REP,16
2026-03,320925017,REP,18
2026-03,320925019,REP,13
2026-03,320925028,REP,10
2026-03,320925035,REP,11
2026-03,320925038,REP,10
2026-03,320925071,REP,13
2026-03,320925076,REP,16
2026-03,320925079,REP,10
2026-03,320925091,REP,13
2026-03,320925093,REP,16
2026-03,32094,CSV,11
2026-03,32094,DEM,410
2026-03,32094,IND,53
2026-03,32094,NPA,382
2026-03,32094,REP,1465
2026-03,32095,AMF,15
2026-03,32095,BPP,10
2026-03,32095,CPF,19
2026-03,32095,CPP,14
2026-03,32095,CSV,69
2026-03,32095,DEM,3317
2026-03,32095,IND,463
2026-03,32095,LPF,69
2026-03,32095,NPA,4078
2026-03,32095,REP,9640
2026-03,320956800,REP,10
2026-03,320956801,REP,10
2026-03,320956803,REP,21
2026-03,320956831,REP,10
2026-03,320956843,REP,10
2026-03,320956848,REP,13
2026-03,320956850,REP,12
2026-03,320958405,REP,13
2026-03,320958425,REP,11
2026-03,320958432,REP,10
2026-03,320958437,REP,16
2026-03,320958908,REP,12
2026-03,32096,DEM,698
2026-03,32096,IND,29
2026-03,32096,NPA,288
2026-03,32096,REP,1110
2026-03,32097,AMF,42
2026-03,32097,ASP,11
2026-03,32097,BPP,11
2026-03,32097,CPF,48
2026-03,32097,CPP,14
2026-03,32097,CSV,109
2026-03,32097,DEM,4189
2026-03,32097,GRE,20
2026-03,32097,IND,747
2026-03,32097,LPF,124
2026-03,32097,NPA,4726
2026-03,32097,REP,12585
2026-03,32102,DEM,299
2026-03,32102,IND,44
2026-03,32102,NPA,476
2026-03,32102,REP,1102
2026-03,32110,CPF,25
2026-03,32110,CSV,46
2026-03,32110,DEM,1346
2026-03,32110,IND,142
2026-03,32110,LPF,22
2026-03,32110,NPA,1460
2026-03,32110,REP,3677
2026-03,32112,CPF,10
2026-03,32112,CSV,12
2026-03,32112,DEM,1113
2026-03,32112,IND,69
2026-03,32112,LPF,11
2026-03,32112,NPA,1052
2026-03,32112,REP,2004
2026-03,32113,CPF,12
2026-03,32113,CSV,26
2026-03,32113,DEM,1278
2026-03,32113,IND,86
2026-03,32113,LPF,22
2026-03,32113,NPA,1065
2026-03,32113,REP,2669
2026-03,32114,AMF,40
2026-03,32114,ASP,17
2026-03,32114,BPP,32
2026-03,32114,CPF,39
2026-03,32114,CPP,14
2026-03,32114,CSV,86
2026-03,32114,DEM,10156
2026-03,32114,GRE,17
2026-03,32114,IND,511
2026-03,32114,LPF,56
